name,dob,gender,aadhaar_number,address,name_length,name_type,dob_valid,masked_aadhaar,aadhaar_number_length,aadhaar_number_type,address_length,address_type,aadhaar_valid
Amber Bradley,23/12/1992,Female,XXXX XXXX 4196,"75336 Avila Island, Houstonfort, WY 51848",13,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Lisa Nicholson,14/01/1967,Other,XXXX XXXX 8845,"616 Bruce Squares, Jonathanmouth, AR 35608",14,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Lauren Price,11/03/1963,Female,XXXX XXXX 8773,"86649 Christina Hollow Suite 999, New Philip, VT 51149",12,Valid,Valid,Valid,14,Invalid,54.0,Valid,Valid
Diana Gibson,22/02/1979,Male,XXXX XXXX 2206,"9452 Frye Mill Suite 822, Johnborough, IL 54228",12,Valid,Valid,Valid,14,Invalid,47.0,Valid,Valid
Sarah Smith,08/03/1959,Other,XXXX XXXX 8300,"06866 Victoria Tunnel Suite 193, East Davidfurt, GA 61151",11,Valid,Valid,Valid,14,Invalid,57.0,Valid,Valid
Debra Lawson,18/10/1994,Male,XXXX XXXX 7014,"0079 Jackson Orchard, West Juan, CO 05604",12,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Kelly Villanueva,27/07/1968,Male,XXXX XXXX 5776,"5625 Cox Gardens Apt. 560, Rachaelshire, UT 93810",16,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
John Krueger,02/03/1959,Other,XXXX XXXX 6265,"40800 Rachel Glens, Sheltonfurt, MN 49869",12,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Rhonda Martinez,15/09/1969,Other,XXXX XXXX 4527,"044 Kara Curve Suite 300, West Michael, KY 66855",15,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
William Rocha,15/06/1977,Female,XXXX XXXX 3021,"3734 Lisa Locks Suite 030, North Angela, GA 79547",13,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
Charles White III,20/11/1954,Other,XXXX XXXX 9553,"783 Pitts River Suite 541, Port Richardburgh, ME 75062",17,Valid,Valid,Valid,14,Invalid,54.0,Valid,Valid
Kimberly Whitehead,13/08/1950,Male,XXXX XXXX 5330,"4361 Carter Mission, Carriebury, OK 47658",18,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Heather Cervantes,27/10/1970,Other,XXXX XXXX 7313,"84204 Hernandez Alley Suite 917, New Aaron, MD 19185",17,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Ana Davis,25/07/1945,Female,XXXX XXXX 8115,"3528 Bryan Route, Bryantfort, NE 77923",9,Valid,Valid,Valid,14,Invalid,38.0,Valid,Valid
Tracy Reese,10/02/1966,Other,XXXX XXXX 5793,"902 Colon Knoll Apt. 499, Griffinberg, AK 64628",11,Valid,Valid,Valid,14,Invalid,47.0,Valid,Valid
Melissa Cordova,24/09/1964,Male,XXXX XXXX 4183,"5454 Morton Tunnel Apt. 481, North Billystad, KS 32755",15,Valid,Valid,Valid,14,Invalid,54.0,Valid,Valid
Jennifer Barber,30/01/1954,Male,XXXX XXXX 6444,"Unit 5149 Box 1797, DPO AP 23548",15,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Paul Clayton,06/11/1991,Female,XXXX XXXX 6157,"051 Hebert Well Apt. 468, North Maryview, ID 04185",12,Valid,Valid,Valid,14,Invalid,50.0,Valid,Valid
Michael Perez,02/12/1962,Other,XXXX XXXX 7080,"29160 Harris Harbors, Vincentville, ME 85396",13,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
John Jensen,13/05/1993,Female,XXXX XXXX 0608,"985 George Mission Apt. 553, New Jaimefort, VI 34171",11,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Sheri Weaver,18/02/2000,Other,XXXX XXXX 5919,"Unit 6141 Box 2904, DPO AP 74784",12,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Dwayne Campos,08/01/1995,Female,XXXX XXXX 8965,"74678 Benjamin Ranch Apt. 861, Bateston, TN 25719",13,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
Caleb Mccormick,05/10/1957,Male,XXXX XXXX 1778,"88767 Chen Square, Hodgemouth, PR 39458",15,Valid,Valid,Valid,14,Invalid,39.0,Valid,Valid
Shaun Caldwell,05/02/1995,Female,XXXX XXXX 7856,"65311 Hernandez Rapid, New Ian, NH 05420",14,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Christian Butler,04/07/1978,Other,XXXX XXXX 2143,"3970 Perez Fords Apt. 350, South April, FM 56487",16,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Mr. William Pollard,20/10/1965,Other,XXXX XXXX 1366,"724 Mitchell Drive Suite 844, Russellburgh, KY 78060",19,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Morgan Turner,24/03/1944,Other,XXXX XXXX 2306,"Unit 0930 Box 9721, DPO AE 73521",13,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Brad Byrd,07/06/1986,Other,XXXX XXXX 5657,"02741 Shawn Centers Apt. 557, Turnerview, MO 88116",9,Valid,Valid,Valid,14,Invalid,50.0,Valid,Valid
Sherri Nguyen,08/12/1998,Female,XXXX XXXX 6193,"3498 Walker Courts Suite 818, Port Brandi, NV 51752",13,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Deborah Ewing,08/03/2003,Other,XXXX XXXX 6531,"4270 Parks Turnpike, West Amandamouth, PW 51596",13,Valid,Valid,Valid,14,Invalid,47.0,Valid,Valid
Sharon Guerrero,18/06/1945,Female,XXXX XXXX 6324,"377 Kelly Skyway, East Andrea, WY 58156",15,Valid,Valid,Valid,14,Invalid,39.0,Valid,Valid
Kimberly Garner,13/08/2001,Male,XXXX XXXX 3169,"99831 Meredith Lake Suite 512, West Parker, NJ 16006",15,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Mason Gilmore,14/06/1965,Female,XXXX XXXX 2222,"989 Hernandez Fort Apt. 683, Crawfordton, OK 04574",13,Valid,Valid,Valid,14,Invalid,50.0,Valid,Valid
Barbara Tucker,10/11/1986,Female,XXXX XXXX 8392,"570 Howard Crossing, Johnsonbury, MO 72923",14,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Daniel Howard,13/05/1981,Male,XXXX XXXX 8119,"060 Gabriel Drive Apt. 717, East Jillstad, NH 66823",13,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Casey Wong,15/03/1956,Female,XXXX XXXX 8688,"44299 White Drives Suite 641, Lake Rickymouth, NV 37928",10,Valid,Valid,Valid,14,Invalid,55.0,Valid,Valid
Monique Lester,22/05/1967,Male,XXXX XXXX 5053,"307 Powers Springs Apt. 798, South Tracytown, MT 01338",14,Valid,Valid,Valid,14,Invalid,54.0,Valid,Valid
Joseph Rose,09/01/1988,Female,XXXX XXXX 8574,"5849 Flynn Springs, East Amber, WA 01686",11,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Pedro Sullivan,02/04/1970,Male,XXXX XXXX 2411,"USCGC Collins, FPO AE 19971",14,Valid,Valid,Valid,14,Invalid,27.0,Valid,Valid
Natalie Huang,26/08/1946,Male,XXXX XXXX 2137,"12091 Hernandez Extensions Suite 957, Lake Matthewborough, NY 17922",13,Valid,Valid,Valid,14,Invalid,67.0,Valid,Valid
David Johnson,21/03/1992,Other,XXXX XXXX 1496,"0485 Newton Summit, Andresstad, NM 46715",13,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Andrea Harper,06/11/1985,Male,XXXX XXXX 2311,"35498 Mullins Pines Suite 876, South James, OK 14995",13,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Mitchell Berry,27/02/1946,Female,XXXX XXXX 3885,"97476 Sloan Rapid, South Micheal, VA 75616",14,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Felicia Smith,23/07/2006,Male,XXXX XXXX 8306,"9704 Douglas Place, Waltersborough, NJ 48673",13,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Andrea Hall,09/09/1960,Female,XXXX XXXX 8763,"608 Williamson Lights, Floydmouth, WY 75333",11,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Michael Waters,03/03/1946,Male,XXXX XXXX 7502,"PSC 7913, Box 3250, APO AA 69995",14,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Kathleen Walker,31/07/1954,Male,XXXX XXXX 9995,"4432 White Stravenue, Donaldfort, TN 18541",15,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Edward Crawford,15/06/1996,Male,XXXX XXXX 0602,"542 Amy Ferry, West Blake, MD 44595",15,Valid,Valid,Valid,14,Invalid,35.0,Valid,Valid
Jessica Smith,11/12/2004,Other,XXXX XXXX 1448,"4594 Robert Stravenue, Williamsburgh, VT 80812",13,Valid,Valid,Valid,14,Invalid,46.0,Valid,Valid
Dylan Oneill,06/04/1995,Other,XXXX XXXX 8255,"4891 Bartlett Mall, Andrewtown, NJ 75414",12,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Elizabeth Erickson DDS,02/03/1953,Other,XXXX XXXX 8434,"588 Brendan Fort, West Rachelfurt, NV 45073",22,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Zachary Church,22/04/1959,Female,XXXX XXXX 2205,"0369 Holmes Rapid, Brianaview, MD 98453",14,Valid,Valid,Valid,14,Invalid,39.0,Valid,Valid
Jacob Johnson,08/06/1985,Other,XXXX XXXX 3608,"9553 Stevenson Ways, Rodriguezborough, NY 67333",13,Valid,Valid,Valid,14,Invalid,47.0,Valid,Valid
Emily White,06/08/1985,Female,XXXX XXXX 1894,"4799 Brandy Wells, Port Sarahhaven, OK 24577",11,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Edwin Doyle,23/09/1964,Male,XXXX XXXX 7656,"6179 Martin Landing Suite 388, Port Alicialand, DC 13920",11,Valid,Valid,Valid,14,Invalid,56.0,Valid,Valid
Lisa Hernandez,23/03/1977,Male,XXXX XXXX 2831,"USCGC Johnson, FPO AE 17941",14,Valid,Valid,Valid,14,Invalid,27.0,Valid,Valid
Stephanie Allen,18/03/1948,Other,XXXX XXXX 1860,"914 Linda Plains Suite 736, Lake Vincentburgh, NV 59690",15,Valid,Valid,Valid,14,Invalid,55.0,Valid,Valid
Patricia Baker,16/06/2047,Unknown,57419577,"USNV Bryant, FPO AE 16267",14,Valid,Future,Invalid,8,Invalid,25.0,Valid,Invalid
Donald Little,18/01/1945,Other,XXXX XXXX 5893,"7907 Rebecca Mills, South Charles, WY 47513",13,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Timothy Stephenson,16/03/1949,Male,XXXX XXXX 2533,"41813 Vincent View Apt. 479, Timothychester, LA 03857",18,Valid,Valid,Valid,14,Invalid,53.0,Valid,Valid
Sherry Cooper,07/03/1997,Other,XXXX XXXX 2586,"81804 Smith Pass Apt. 468, West Joshuamouth, OK 03434",13,Valid,Valid,Valid,14,Invalid,53.0,Valid,Valid
Jerome Taylor MD,17/11/1946,Male,XXXX XXXX 2588,"64567 Martinez Walk Apt. 120, Tinabury, NY 20944",16,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Kristin Gray,02/11/1964,Female,XXXX XXXX 3648,"5992 Lisa Motorway Suite 236, Joshuashire, VI 81738",12,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Ronnie Stanley,16/03/1986,Female,XXXX XXXX 7655,"282 Daniel Roads Suite 694, Snydertown, MI 20602",14,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Amy Andrews,30/09/1955,Female,XXXX XXXX 3067,"64955 David Avenue Suite 360, New Brandon, VA 33381",11,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Alexandra Gilbert,13/01/1963,Male,XXXX XXXX 8499,"7260 Williams Pines, New Linda, WY 81404",17,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Carolyn Walker,19/03/1962,Male,XXXX XXXX 4040,"43229 Kimberly Valleys Apt. 588, Ericland, FM 33223",14,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Michael Alexander,21/03/1954,Male,XXXX XXXX 9177,"805 Nguyen Corner, South Stephen, MS 97049",17,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Mark Warren,08/06/2005,Female,XXXX XXXX 9364,"04434 Kyle Island Suite 533, South Sherry, MI 69303",11,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Shannon Vaughn,06/12/1963,Male,XXXX XXXX 3853,"810 Rivera Center Apt. 956, South Kristin, MD 26188",14,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Katherine Green,16/06/1968,Male,XXXX XXXX 4270,"0661 Anthony Orchard, Kleinborough, NE 21709",15,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Carmen Perry,18/11/1964,Female,XXXX XXXX 5370,"PSC 6112, Box 4634, APO AP 88923",12,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Tyler Scott,13/01/1991,Other,XXXX XXXX 1207,"510 Brown Unions, East Paulmouth, OR 36695",11,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Ebony Bates,07/04/1975,Other,XXXX XXXX 5626,"46549 Alexis Plain Suite 041, Travistown, WY 24611",11,Valid,Valid,Valid,14,Invalid,50.0,Valid,Valid
Audrey Noble,17/06/1993,Female,XXXX XXXX 7435,"3570 Jackson Ville Suite 261, Ronaldburgh, NM 15603",12,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Joseph Owens,05/12/1968,Female,XXXX XXXX 0806,"492 Chad Curve Apt. 577, West Edward, LA 24210",12,Valid,Valid,Valid,14,Invalid,46.0,Valid,Valid
Amanda Rodriguez,22/06/1963,Female,XXXX XXXX 1855,"69312 Gregory Lake Suite 160, East Lisa, WI 64231",16,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
Susan Brown,18/10/1956,Female,XXXX XXXX 9672,"8396 Seth Freeway, Mcdanielview, GU 44405",11,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Brianna Vargas,09/06/1979,Male,XXXX XXXX 5746,"1855 Anderson Station Suite 977, North Virginia, NE 18567",14,Valid,Valid,Valid,14,Invalid,57.0,Valid,Valid
Matthew Garza,31/01/1991,Other,XXXX XXXX 7258,"2916 Raven Shoal, Myersshire, VA 17228",13,Valid,Valid,Valid,14,Invalid,38.0,Valid,Valid
Ryan Smith,18/10/1945,Female,XXXX XXXX 4947,"17718 Kelly Summit, East Leslie, MH 34307",10,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Ashley Kennedy,04/05/1955,Female,XXXX XXXX 7619,"4669 Ashley Key, West Sophiaview, MP 21560",14,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Nathaniel Quinn,13/06/1950,Female,XXXX XXXX 2186,"922 Dawn Lake Suite 436, South Gregory, TN 35960",15,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Angela Newton DVM,14/10/1962,Other,XXXX XXXX 6275,"4779 David Village, Turnertown, MS 14860",17,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Matthew Jimenez,06/12/1980,Female,XXXX XXXX 2004,"5834 Peterson Path, South Adrienne, NV 29930",15,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Jeffrey Rogers,02/05/2001,Other,XXXX XXXX 4773,"13659 Robin Shores, Morganview, ID 38926",14,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Traci Rowe,30/11/1948,Male,XXXX XXXX 3452,"Unit 6436 Box 3367, DPO AE 25261",10,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Timothy Parrish,07/11/1955,Male,XXXX XXXX 2422,"PSC 7023, Box 1162, APO AE 05081",15,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Elizabeth Anderson,10/05/1950,Male,XXXX XXXX 9408,"438 Young Forks, Ronaldshire, OR 43887",18,Valid,Valid,Valid,14,Invalid,38.0,Valid,Valid
Joanna Reed,01/02/1972,Female,XXXX XXXX 3242,"4451 Gregory Dam, Port Alisha, UT 39430",11,Valid,Valid,Valid,14,Invalid,39.0,Valid,Valid
Thomas Diaz,16/02/1989,Other,XXXX XXXX 2356,"71986 Tina Pass Suite 649, Jefferymouth, NC 00697",11,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
Richard Mckenzie,08/03/1987,Other,XXXX XXXX 6262,"465 Carol Hill Apt. 797, Carlchester, ID 34239",16,Valid,Valid,Valid,14,Invalid,46.0,Valid,Valid
Lorraine Moore,12/01/1988,Other,XXXX XXXX 7658,"047 Torres Gateway, Stephaniehaven, MA 29452",14,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Lisa Chavez,28/09/1976,Female,XXXX XXXX 8391,"70478 Thomas Squares, North John, MI 66440",11,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Mitchell Clark,04/01/1978,Other,XXXX XXXX 6681,"61587 John Expressway, Brianburgh, RI 50266",14,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Kelly Robinson,23/01/1966,Other,XXXX XXXX 1324,"3790 Tiffany Corners Suite 752, Lake Raymond, PR 39774",14,Valid,Valid,Valid,14,Invalid,54.0,Valid,Valid
Luis Jones,02/08/1988,Other,XXXX XXXX 1098,"4769 Nancy Rest Apt. 200, Holtmouth, MP 47285",10,Valid,Valid,Valid,14,Invalid,45.0,Valid,Valid
Brian Welch,11/02/1949,Female,XXXX XXXX 6845,"68210 Henderson Squares Suite 531, Lake Jesseborough, MH 18612",11,Valid,Valid,Valid,14,Invalid,62.0,Valid,Valid
Timothy Ryan,22/09/1973,Other,XXXX XXXX 1037,"64865 Riley Knolls Suite 033, Lopezborough, AS 12731",12,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Melissa Elliott,27/05/2005,Other,XXXX XXXX 8175,"29341 French Mountain Suite 593, Sabrinachester, MT 09123",15,Valid,Valid,Valid,14,Invalid,57.0,Valid,Valid
Carolyn Morse,14/08/2001,Male,XXXX XXXX 2119,"24049 Williams Square, North Amber, NC 37884",13,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Carla Clark,28/05/1950,Female,XXXX XXXX 6492,"2828 Mary Bypass Suite 451, Kelseyborough, NV 31256",11,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Troy Sullivan,06/05/1969,Male,XXXX XXXX 7312,"2117 Elizabeth Inlet Apt. 237, Simpsonhaven, IL 49246",13,Valid,Valid,Valid,14,Invalid,53.0,Valid,Valid
George Brown,27/09/1999,Male,XXXX XXXX 9429,"389 Ian Mountain Apt. 391, Jackville, DC 58166",12,Valid,Valid,Valid,14,Invalid,46.0,Valid,Valid
John Kim,28/10/1985,Male,XXXX XXXX 7335,"461 Pruitt Harbors Apt. 846, West Gary, FM 70830",8,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Chad Suarez,16/07/2006,Male,XXXX XXXX 2534,"82596 Heath Alley, Lake Kim, UT 92720",11,Valid,Valid,Valid,14,Invalid,37.0,Valid,Valid
Jonathan Perkins,16/02/1963,Male,XXXX XXXX 4710,"8649 Kimberly Extension, North Dustinton, WI 48529",16,Valid,Valid,Valid,14,Invalid,50.0,Valid,Valid
Jonathan Calderon,13/01/1957,Male,XXXX XXXX 1241,"30649 Collins Via Apt. 901, Melanieview, GU 74290",17,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
Patrick Pace,08/10/1955,Male,XXXX XXXX 6810,"20768 Lopez Crescent Apt. 740, Williamsfort, WV 22723",12,Valid,Valid,Valid,14,Invalid,53.0,Valid,Valid
Benjamin Price,30/01/1980,Female,XXXX XXXX 1579,"564 Gary Radial Suite 136, North Dominiquemouth, MN 81682",14,Valid,Valid,Valid,14,Invalid,57.0,Valid,Valid
Wendy Soto,31/01/1969,Other,XXXX XXXX 8094,"154 Sonia Stravenue Suite 713, Cindyhaven, NC 24955",10,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Danielle Clark,24/11/1979,Male,XXXX XXXX 5900,"283 Clark Dale, Debraville, PA 86293",14,Valid,Valid,Valid,14,Invalid,36.0,Valid,Valid
Edward Collins,06/10/1946,Other,XXXX XXXX 0419,"505 Lori Forges Apt. 293, Emilyberg, WA 72802",14,Valid,Valid,Valid,14,Invalid,45.0,Valid,Valid
Andrea Christensen,07/01/1985,Female,XXXX XXXX 0317,"57728 David Parkways, Maryburgh, TX 75246",18,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Terry Gregory,21/07/1953,Other,XXXX XXXX 1639,"492 Crystal Extension Apt. 650, Port Allison, NV 32469",13,Valid,Valid,Valid,14,Invalid,54.0,Valid,Valid
Jeffrey Jones,06/03/1964,Other,XXXX XXXX 1043,"73972 Peterson Ridge, East Johnshire, GU 38336",13,Valid,Valid,Valid,14,Invalid,46.0,Valid,Valid
Charles Willis,31/08/1982,Other,XXXX XXXX 9033,"1896 Angel Hills Apt. 704, Lake Cynthia, AK 45338",14,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
James Barnes,14/05/1969,Female,XXXX XXXX 3201,"407 Johnson Ferry, West Renee, AS 26402",12,Valid,Valid,Valid,14,Invalid,39.0,Valid,Valid
Monica Foster,22/01/1983,Female,XXXX XXXX 6083,"8472 Lisa Summit Suite 883, Lake Taylorland, HI 46878",13,Valid,Valid,Valid,14,Invalid,53.0,Valid,Valid
Rachel Smith,28/08/1985,Male,XXXX XXXX 0266,"51809 Yolanda Tunnel, New Anthonybury, AR 11016",12,Valid,Valid,Valid,14,Invalid,47.0,Valid,Valid
William Cook,12/05/2003,Male,XXXX XXXX 9861,"086 Angelica Ranch, Crystalview, AZ 18700",12,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Joseph Nichols,07/08/1969,Male,XXXX XXXX 9568,"99075 Owen Courts, Deckerborough, UT 95056",14,Valid,Valid,Valid,14,Invalid,42.0,Valid,Valid
Julie Shepard,11/03/1982,Male,XXXX XXXX 9608,"169 Hudson Gateway Suite 321, Lake Ronald, TX 41902",13,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Karen Weiss,02/04/1962,Male,XXXX XXXX 7630,"64741 Jones Summit Apt. 039, Cookburgh, MT 21893",11,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Henry Arroyo,07/08/1967,Male,XXXX XXXX 6852,"8072 Ortiz Curve Apt. 782, West Denise, GU 57516",12,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Samantha Johnson,08/03/1956,Female,XXXX XXXX 3017,"09175 Norman View, Moorebury, MH 77791",16,Valid,Valid,Valid,14,Invalid,38.0,Valid,Valid
Melissa Stuart,17/04/1951,Female,XXXX XXXX 7913,"153 Tyler Viaduct Apt. 922, Ramirezstad, NC 35613",14,Valid,Valid,Valid,14,Invalid,49.0,Valid,Valid
Kyle Lewis,12/10/1957,Other,XXXX XXXX 9072,"695 Sullivan Tunnel, Allisonmouth, NH 46235",10,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Linda Lee,24/12/2005,Other,XXXX XXXX 0915,"Unit 2567 Box 2298, DPO AP 32951",9,Valid,Valid,Valid,14,Invalid,32.0,Valid,Valid
Natasha Gonzalez,26/01/1965,Male,XXXX XXXX 8511,"5427 Cox Track Suite 292, Snyderstad, AL 95559",16,Valid,Valid,Valid,14,Invalid,46.0,Valid,Valid
Patricia Moran,10/03/1980,Male,XXXX XXXX 0298,"53488 Robert Camp, West Curtis, NJ 83006",14,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Nicholas Scott,06/07/1967,Female,XXXX XXXX 2956,"53158 Jeanne Forge Apt. 577, Robleschester, MH 12279",14,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Thomas Love,25/07/1993,Female,XXXX XXXX 1859,"07313 Fischer Brooks, South Stevenbury, WV 98024",11,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
James Clark,31/12/2005,Other,XXXX XXXX 9283,"92072 Jennifer Estates Apt. 813, Dalehaven, NV 60185",11,Valid,Valid,Valid,14,Invalid,52.0,Valid,Valid
Kristin Macias,17/09/1950,Male,XXXX XXXX 8856,"586 Huffman Plains, Melvinmouth, AL 05217",14,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Natasha Jones,23/03/1990,Female,XXXX XXXX 2628,"2058 Cox Walks Suite 035, Brittanyton, IL 68349",13,Valid,Valid,Valid,14,Invalid,47.0,Valid,Valid
Ricardo Cowan,24/11/1966,Other,XXXX XXXX 7419,"16331 Adrian Shoal, Krausemouth, NV 93465",13,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Timothy Stanley,02/05/1958,Other,XXXX XXXX 2327,"6237 Daniel Cove, Lake Arthurmouth, VA 74652",15,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Amanda Miller,11/07/1995,Other,XXXX XXXX 6522,"3171 Melissa Village Suite 809, Port Alexandriaburgh, GA 95327",13,Valid,Valid,Valid,14,Invalid,62.0,Valid,Valid
Robert Smith,22/05/1980,Female,XXXX XXXX 2110,"21139 Daniel Walk, New Mikefurt, MH 04852",12,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
William Gibbs,17/04/1950,Female,XXXX XXXX 1047,"2589 Garcia Ford Suite 666, West Meganshire, ND 43178",13,Valid,Valid,Valid,14,Invalid,53.0,Valid,Valid
Tony Lewis,31/01/1953,Other,XXXX XXXX 3277,"97507 Andrea Crest Apt. 579, Adammouth, ME 58987",10,Valid,Valid,Valid,14,Invalid,48.0,Valid,Valid
Ryan Jimenez,11/02/1952,Other,XXXX XXXX 8294,"75351 Smith Spurs, Mcintyrebury, FL 24811",12,Valid,Valid,Valid,14,Invalid,41.0,Valid,Valid
Paul Quinn,31-02-2000,Male,cL5tr3ypIxIq,"5804 Diane Curve Apt. 323, Smithberg, WY 50754",10,Valid,Invalid,Invalid,12,Invalid,46.0,Valid,Invalid
Lindsey Lowery,05/02/1997,Female,XXXX XXXX 2082,"93315 Moreno Parks Suite 729, New Crystalport, MN 92256",14,Valid,Valid,Valid,14,Invalid,55.0,Valid,Valid
Antonio Smith,31/12/1969,Other,XXXX XXXX 8475,"617 Steve Locks, South Jamesville, HI 19481",13,Valid,Valid,Valid,14,Invalid,43.0,Valid,Valid
Tanya Sanchez,05/06/1975,Female,XXXX XXXX 2342,"60582 Robert Harbors Suite 209, Lake Dannyburgh, MP 23789",13,Valid,Valid,Valid,14,Invalid,57.0,Valid,Valid
Wesley Smith,24/12/1998,Male,XXXX XXXX 4880,"888 George Turnpike, South Heather, NY 30011",12,Valid,Valid,Valid,14,Invalid,44.0,Valid,Valid
Heather Rivera,19/05/1998,Female,XXXX XXXX 8228,"7332 King Via Suite 000, Lake Sandramouth, NM 76486",14,Valid,Valid,Valid,14,Invalid,51.0,Valid,Valid
Lacey Burke,04/06/2002,Female,XXXX XXXX 3050,"62960 Sabrina Port Suite 380, Lake Patriciaville, AK 11925",11,Valid,Valid,Valid,14,Invalid,58.0,Valid,Valid
Judith Perry,14/08/1992,Female,XXXX XXXX 6848,"9732 Howell Villages Suite 633, Lake Judyfurt, AZ 54644",12,Valid,Valid,Valid,14,Invalid,55.0,Valid,Valid
Omar Sutton,10/10/1982,Other,XXXX XXXX 2021,"031 Perez Row, North Nancystad, LA 98682",11,Valid,Valid,Valid,14,Invalid,40.0,Valid,Valid
Carmen Butler,03/01/1988,Female,XXXX XXXX 2067,"6483 Maria Lights, Moorehaven, VI 85214",13,Valid,Valid,Valid,14,Invalid,39.0,Valid,Valid
